,OutcomeType,SexUponOutcome,Breed,Color,Age
52,0,Intact Male,Chihuahua Shorthair,Black,0.25
53,0,Intact Male,Pit Bull,Black/White,0.25
54,0,Unknown,Labrador Retriever Mix,Brown,0.25
55,0,Unknown,Labrador Retriever Mix,Brown,0.25
56,0,Unknown,Labrador Retriever Mix,Brown,0.25
57,0,Unknown,Labrador Retriever Mix,Brown,0.25
58,0,Unknown,Labrador Retriever Mix,Brown,0.25
59,0,Unknown,Labrador Retriever Mix,Brown,0.25
60,0,Unknown,Labrador Retriever Mix,Brown,0.25
61,0,Unknown,Labrador Retriever Mix,Brown,0.25
62,0,Unknown,Labrador Retriever Mix,Brown,0.25
63,0,Unknown,Great Pyrenees Mix,White,0.25
64,0,Intact Female,Great Pyrenees Mix,White,0.25
65,0,Intact Female,Great Pyrenees Mix,White,0.25
66,0,Intact Male,Great Pyrenees Mix,White,0.25
67,0,Intact Female,Great Pyrenees Mix,White,0.25
68,0,Intact Female,Pit Bull Mix,Black/White,0.25
69,0,Intact Female,Pit Bull Mix,Chocolate/White,0.25
70,0,Intact Male,Pit Bull Mix,White/Brown,0.25
71,0,Intact Female,Pit Bull Mix,White,0.25
72,0,Unknown,Staffordshire Mix,Tan/White,0.25
73,0,Intact Female,Staffordshire Mix,Brown Brindle/White,0.25
74,0,Intact Female,Pit Bull Mix,Black/White,0.25
75,0,Intact Male,Pit Bull Mix,White/Black,0.25
76,0,Intact Female,Pit Bull Mix,White/Black,0.25
77,0,Intact Female,Great Pyrenees Mix,Sable/White,0.25
78,0,Intact Male,Jack Russell Terrier Mix,Tricolor,0.25
79,0,Intact Female,Jack Russell Terrier Mix,White/Brown,0.25
80,0,Intact Male,Jack Russell Terrier Mix,White/Brown,0.25
81,0,Intact Male,Jack Russell Terrier Mix,Sable,0.25
82,0,Intact Male,Jack Russell Terrier Mix,Black/Tan,0.25
83,0,Intact Female,Jack Russell Terrier Mix,Tricolor,0.25
84,0,Intact Male,Pit Bull Mix,Sable/White,0.25
85,0,Intact Female,Chihuahua Shorthair Mix,Black/White,0.25
86,0,Intact Male,Chihuahua Shorthair Mix,Black/Tan,0.25
87,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
88,0,Intact Female,Chihuahua Shorthair Mix,Tan,0.25
89,0,Intact Male,Pit Bull Mix,Brown/White,0.25
90,0,Intact Male,German Shepherd Mix,Brown/White,0.25
91,0,Intact Male,German Shepherd Mix,Brown,0.25
92,0,Intact Female,German Shepherd Mix,Brown,0.25
93,0,Intact Male,German Shepherd Mix,Chocolate,0.25
94,0,Intact Male,German Shepherd Mix,Chocolate,0.25
95,0,Intact Female,German Shepherd Mix,Chocolate,0.25
96,0,Intact Male,German Shepherd Mix,Black/White,0.25
97,0,Intact Male,German Shepherd Mix,Black/White,0.25
98,0,Intact Male,Pit Bull Mix,Blue/White,0.25
99,0,Intact Female,Pit Bull Mix,Blue/White,0.25
100,0,Intact Male,Pit Bull Mix,Blue/White,0.25
101,0,Intact Male,Pit Bull Mix,Blue/White,0.25
102,0,Intact Male,Pit Bull Mix,Blue/White,0.25
103,0,Intact Female,Pit Bull Mix,Chocolate/White,0.25
104,0,Intact Female,Pit Bull Mix,Chocolate/White,0.25
105,0,Intact Female,Pit Bull Mix,Chocolate/White,0.25
106,0,Intact Female,Pit Bull Mix,Brown Brindle/White,0.25
107,0,Intact Male,Pit Bull Mix,Chocolate/White,0.25
108,0,Intact Female,Pit Bull Mix,Chocolate/White,0.25
109,0,Intact Male,Labrador Retriever Mix,Brown,0.25
110,0,Intact Female,Labrador Retriever Mix,Black/White,0.25
111,0,Unknown,Dachshund Mix,Tan,0.25
112,0,Unknown,Dachshund Mix,Tan,0.25
113,0,Unknown,Dachshund Mix,Tan,0.25
114,0,Unknown,Dachshund Mix,Tan,0.25
115,0,Unknown,Dachshund Mix,Black,0.25
116,0,Intact Female,Labrador Retriever Mix,Brown,0.25
117,0,Intact Female,Labrador Retriever Mix,Cream,0.25
118,0,Intact Male,Labrador Retriever Mix,Cream,0.25
119,0,Intact Female,Labrador Retriever Mix,Black/White,0.25
120,0,Intact Female,Labrador Retriever Mix,Brown,0.25
121,0,Intact Male,Labrador Retriever Mix,Black/White,0.25
122,0,Intact Male,Labrador Retriever Mix,Black/White,0.25
123,0,Intact Male,Labrador Retriever Mix,Brown/White,0.25
124,0,Unknown,Pit Bull Mix,Blue/White,0.25
125,0,Unknown,Pit Bull Mix,Blue/White,0.25
126,0,Unknown,Pit Bull Mix,Blue/White,0.25
127,0,Unknown,Pit Bull Mix,Blue/White,0.25
128,0,Unknown,Pit Bull Mix,Blue/White,0.25
129,0,Unknown,Pit Bull Mix,Blue/White,0.25
130,0,Intact Male,Pit Bull Mix,Fawn/White,0.25
131,0,Intact Male,Pit Bull Mix,Blue/White,0.25
132,0,Intact Female,Pit Bull Mix,Blue/White,0.25
133,0,Intact Male,Labrador Retriever Mix,Brown,0.25
134,0,Intact Male,Labrador Retriever Mix,Brown,0.25
135,0,Intact Female,Labrador Retriever Mix,Black,0.25
136,0,Intact Male,Labrador Retriever Mix,Brown,0.25
137,0,Intact Female,Australian Shepherd Mix,Black/White,0.25
138,0,Intact Male,Australian Shepherd Mix,Brown/White,0.25
139,0,Intact Male,German Shepherd Mix,Tan/Black,0.25
140,0,Intact Male,German Shepherd Mix,Tan/Black,0.25
141,0,Intact Female,Border Collie Mix,Black/White,0.25
142,0,Intact Male,Border Collie Mix,Black/White,0.25
143,0,Intact Male,Chihuahua Shorthair Mix,Brown/Black,0.25
144,0,Unknown,Chihuahua Shorthair Mix,Cream,0.25
145,0,Intact Male,Pit Bull Mix,White/Black,0.25
146,0,Intact Male,Labrador Retriever Mix,Black,0.25
147,0,Intact Female,Pit Bull Mix,Brown/White,0.25
148,0,Intact Female,Yorkshire Terrier Mix,Tricolor,0.25
149,0,Intact Female,Chihuahua Shorthair Mix,Brown,0.25
150,0,Unknown,Labrador Retriever Mix,Brown,0.25
151,0,Intact Female,Australian Shepherd Mix,Black/White,0.25
152,0,Unknown,Chihuahua Shorthair Mix,Brown/Black,0.25
153,0,Intact Female,Labrador Retriever Mix,Brown,0.25
154,0,Intact Male,Labrador Retriever Mix,Brown,0.25
155,0,Intact Male,Labrador Retriever Mix,White,0.25
156,0,Intact Male,Labrador Retriever Mix,Tan,0.25
157,0,Intact Male,Labrador Retriever Mix,White,0.25
158,0,Intact Female,Pit Bull Mix,Black/White,0.25
159,0,Intact Male,Pit Bull Mix,Black,0.25
160,0,Intact Female,Labrador Retriever Mix,Red,0.25
161,0,Intact Female,Chihuahua Shorthair Mix,Black/Tan,0.25
162,0,Intact Female,Chihuahua Shorthair Mix,Black,0.25
163,0,Intact Female,Miniature Poodle Mix,White,0.25
164,0,Intact Male,Chihuahua Shorthair Mix,Brown,0.25
165,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
166,0,Intact Male,Chihuahua Shorthair Mix,White/Brown,0.25
167,0,Intact Male,Chihuahua Shorthair Mix,Brown/White,0.25
168,0,Intact Male,Chihuahua Shorthair Mix,Brown/White,0.25
169,0,Intact Female,Chihuahua Shorthair Mix,Tricolor,0.25
170,0,Intact Female,Chihuahua Shorthair Mix,Black/White,0.25
171,0,Unknown,Boxer Mix,Black,0.25
172,0,Intact Female,Australian Cattle Dog Mix,Tricolor,0.25
173,0,Intact Female,Pit Bull Mix,White/Black,0.25
174,0,Intact Female,Pit Bull Mix,Sable/White,0.25
175,0,Intact Female,Pit Bull Mix,Sable/White,0.25
176,0,Intact Male,Pit Bull Mix,Sable,0.25
177,0,Intact Female,Pit Bull Mix,Sable/White,0.25
178,0,Intact Female,Pit Bull Mix,Blue,0.25
179,0,Intact Male,Pit Bull Mix,Sable/White,0.25
180,0,Intact Male,Labrador Retriever Mix,Black/White,0.25
181,0,Intact Female,Labrador Retriever Mix,Black/White,0.25
182,0,Intact Male,Beagle Mix,Tan/White,0.25
183,0,Intact Male,Rat Terrier Mix,White,0.25
184,0,Intact Male,Rat Terrier Mix,White,0.25
185,0,Intact Female,Rat Terrier Mix,White,0.25
186,0,Intact Female,Rat Terrier Mix,White,0.25
187,0,Unknown,Labrador Retriever Mix,White,0.25
188,0,Unknown,Labrador Retriever Mix,Brown,0.25
189,0,Unknown,Labrador Retriever Mix,Brown,0.25
190,0,Unknown,Labrador Retriever Mix,Brown,0.25
191,0,Unknown,Labrador Retriever Mix,Brown,0.25
192,0,Unknown,Labrador Retriever Mix,White,0.25
193,0,Unknown,Labrador Retriever Mix,White,0.25
194,0,Intact Female,Chihuahua Longhair Mix,Black/White,0.25
195,0,Intact Male,Chihuahua Longhair Mix,Black/Tan,0.25
196,0,Intact Male,Chihuahua Longhair Mix,Tricolor,0.25
197,0,Intact Male,Chihuahua Longhair Mix,Tricolor,0.25
198,0,Intact Male,Chihuahua Shorthair Mix,Brown/Black,0.25
199,0,Intact Female,Chihuahua Shorthair Mix,White/Brown,0.25
200,0,Intact Male,Labrador Retriever Mix,White,0.25
201,0,Unknown,Labrador Retriever Mix,Brown,0.25
202,0,Unknown,Labrador Retriever Mix,Brown,0.25
203,0,Unknown,Labrador Retriever Mix,Brown,0.25
204,0,Unknown,Labrador Retriever Mix,Brown,0.25
205,0,Unknown,Labrador Retriever Mix,Brown,0.25
206,0,Unknown,Labrador Retriever Mix,Brown/White,0.25
207,0,Unknown,Labrador Retriever Mix,Brown/White,0.25
208,0,Unknown,Labrador Retriever Mix,Black/White,0.25
209,0,Unknown,Labrador Retriever Mix,Black/White,0.25
210,0,Unknown,Labrador Retriever Mix,Black/White,0.25
211,0,Intact Male,Rottweiler Mix,Black/Tan,0.25
212,0,Intact Female,Rottweiler Mix,Black/Tan,0.25
213,0,Intact Male,Rottweiler Mix,Black/Tan,0.25
214,0,Intact Female,Rottweiler Mix,Black/Tan,0.25
215,0,Intact Female,Rottweiler Mix,Black/Tan,0.25
216,0,Intact Female,Rottweiler Mix,Black/Tan,0.25
217,0,Unknown,Pit Bull Mix,White,0.25
218,0,Unknown,Chihuahua Shorthair Mix,Black/White,0.25
219,0,Unknown,Chihuahua Shorthair Mix,White/Black,0.25
220,0,Intact Female,Labrador Retriever Mix,White,0.25
221,0,Intact Female,Staffordshire Mix,White,0.25
222,0,Unknown,Chihuahua Shorthair Mix,Black/Tan,0.25
223,0,Intact Male,Labrador Retriever Mix,Tan/White,0.25
224,0,Intact Female,Labrador Retriever Mix,Tan/White,0.25
225,0,Intact Male,Labrador Retriever Mix,Tan/White,0.25
226,0,Intact Female,Labrador Retriever Mix,Brown/White,0.25
227,0,Intact Male,Labrador Retriever Mix,Brown,0.25
228,0,Unknown,Great Pyrenees Mix,White,0.25
229,0,Intact Male,Labrador Retriever Mix,Sable/White,0.25
230,0,Unknown,Chihuahua Shorthair Mix,Brown/Black,0.25
231,0,Unknown,Chihuahua Shorthair Mix,Cream,0.25
232,0,Unknown,Chihuahua Shorthair Mix,Brown/Black,0.25
233,0,Unknown,Chihuahua Shorthair Mix,White/Black,0.25
234,0,Unknown,Labrador Retriever Mix,Black/White,0.25
235,0,Unknown,Labrador Retriever Mix,Brown,0.25
236,0,Unknown,Labrador Retriever Mix,White,0.25
237,0,Unknown,Labrador Retriever Mix,White,0.25
238,0,Unknown,Labrador Retriever Mix,White,0.25
239,0,Unknown,Labrador Retriever Mix,White,0.25
240,0,Unknown,Labrador Retriever Mix,White,0.25
241,0,Unknown,Labrador Retriever Mix,Black,0.25
242,0,Unknown,Labrador Retriever Mix,White,0.25
243,0,Intact Male,German Shepherd Mix,Sable,0.25
244,0,Intact Male,German Shepherd Mix,Tan,0.25
245,0,Intact Female,German Shepherd Mix,Sable,0.25
246,0,Intact Male,German Shepherd Mix,Sable,0.25
247,0,Intact Female,German Shepherd Mix,Sable,0.25
248,0,Intact Male,German Shepherd Mix,Sable,0.25
249,0,Intact Male,German Shepherd Mix,Sable,0.25
250,0,Intact Male,Pit Bull Mix,Brown/White,0.25
251,0,Intact Male,Pit Bull Mix,Brown/White,0.25
252,0,Intact Female,Pit Bull Mix,Brown/White,0.25
253,0,Intact Female,Pit Bull Mix,Brown/White,0.25
254,0,Intact Female,Pit Bull Mix,Brown/White,0.25
255,0,Intact Female,Chihuahua Shorthair Mix,Black/Tan,0.25
256,0,Intact Female,Pit Bull Mix,White,0.25
257,0,Intact Female,Labrador Retriever Mix,Brown/Black,0.25
258,0,Intact Female,Labrador Retriever Mix,Brown/Black,0.25
259,0,Unknown,Labrador Retriever Mix,Black,0.25
260,0,Intact Male,Labrador Retriever Mix,Black/White,0.25
261,0,Intact Male,Labrador Retriever Mix,Sable,0.25
262,0,Intact Male,Labrador Retriever Mix,Cream,0.25
263,0,Intact Female,Labrador Retriever Mix,Black/White,0.25
264,0,Intact Female,Labrador Retriever Mix,Black/White,0.25
265,0,Intact Female,Labrador Retriever Mix,Cream,0.25
266,0,Intact Female,Labrador Retriever Mix,Cream,0.25
267,0,Intact Female,Labrador Retriever Mix,Cream,0.25
268,0,Intact Male,Pit Bull Mix,White,0.25
269,0,Intact Male,Pit Bull Mix,White/Brown,0.25
270,0,Intact Male,Pit Bull Mix,White,0.25
271,0,Intact Male,Pit Bull Mix,White,0.25
272,0,Intact Male,Shih Tzu Mix,White/Brown,0.25
273,0,Intact Female,Shih Tzu Mix,White/Brown,0.25
274,0,Intact Female,Shih Tzu Mix,White/Brown,0.25
275,0,Intact Female,Labrador Retriever,Black/White,0.25
276,0,Intact Male,Pit Bull Mix,Black/White,0.25
277,0,Intact Male,Pit Bull Mix,Black/White,0.25
278,0,Intact Male,Pit Bull Mix,Black/White,0.25
279,0,Intact Female,Pit Bull Mix,Black/White,0.25
280,0,Intact Male,Pit Bull Mix,Black/White,0.25
281,0,Intact Female,Pit Bull Mix,Black/White,0.25
282,0,Intact Male,Pit Bull Mix,Black/White,0.25
283,0,Intact Female,Pit Bull Mix,Black/White,0.25
284,0,Intact Male,Pit Bull Mix,Black/White,0.25
285,0,Intact Female,Pit Bull Mix,Black/White,0.25
286,0,Intact Female,Pit Bull Mix,Black/White,0.25
287,0,Intact Female,Chihuahua Shorthair Mix,White/Black,0.25
288,0,Intact Female,Chihuahua Shorthair Mix,White/Black,0.25
289,0,Intact Male,Chihuahua Shorthair Mix,Black/Brown,0.25
290,0,Intact Male,Chihuahua Shorthair Mix,Black/Brown,0.25
291,0,Intact Male,Chihuahua Shorthair Mix,Black/Brown,0.25
292,0,Intact Female,Pit Bull Mix,White,0.25
293,0,Unknown,German Shepherd Mix,Black/Tan,0.25
294,0,Unknown,German Shepherd Mix,Black/Tan,0.25
295,0,Unknown,German Shepherd Mix,Black/Tan,0.25
296,0,Unknown,German Shepherd Mix,Black/Tan,0.25
297,0,Unknown,German Shepherd Mix,Black/Tan,0.25
298,0,Unknown,German Shepherd Mix,Black/Tan,0.25
299,0,Unknown,German Shepherd Mix,Black/Tan,0.25
300,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
301,0,Unknown,Great Pyrenees Mix,White,0.25
302,0,Unknown,Great Pyrenees Mix,White,0.25
303,0,Unknown,Great Pyrenees Mix,White,0.25
304,0,Unknown,Great Pyrenees Mix,White,0.25
305,0,Unknown,Chihuahua Shorthair Mix,White/Brown,0.25
306,0,Intact Male,Labrador Retriever Mix,Black/White,0.25
307,0,Intact Male,Chihuahua Shorthair Mix,Black/Tan,0.25
308,0,Unknown,Pit Bull Mix,Brown/White,0.25
309,0,Intact Male,Labrador Retriever Mix,White/Black,0.25
310,0,Intact Male,Labrador Retriever Mix,White/Black,0.25
311,0,Intact Male,Labrador Retriever Mix,Brown,0.25
312,0,Intact Female,Chihuahua Shorthair Mix,White/Black,0.25
313,0,Intact Female,Chihuahua Shorthair Mix,Tricolor,0.25
314,0,Intact Male,Chihuahua Shorthair Mix,Sable,0.25
315,0,Intact Female,Chihuahua Shorthair Mix,Tricolor,0.25
316,0,Unknown,Chihuahua Shorthair Mix,White/Black,0.25
317,0,Unknown,Chihuahua Shorthair Mix,Black/White,0.25
318,0,Unknown,Chihuahua Shorthair Mix,Black/White,0.25
319,0,Unknown,Chihuahua Shorthair Mix,Brown/White,0.25
320,0,Intact Female,Pit Bull Mix,Black/White,0.25
321,0,Intact Female,Pit Bull Mix,Black/White,0.25
322,0,Intact Female,Pit Bull Mix,Black/White,0.25
323,0,Intact Female,Australian Cattle Dog Mix,Sable/White,0.25
324,0,Intact Male,Australian Cattle Dog Mix,Brown/White,0.25
325,0,Intact Male,Australian Cattle Dog Mix,Black/White,0.25
326,0,Intact Male,Australian Cattle Dog Mix,Black/White,0.25
327,0,Intact Male,Australian Cattle Dog Mix,Tricolor,0.25
328,0,Intact Female,Australian Cattle Dog Mix,Tricolor,0.25
329,0,Intact Female,Labrador Retriever Mix,Sable,0.25
330,0,Intact Female,Labrador Retriever Mix,Black/White,0.25
331,0,Intact Female,Labrador Retriever Mix,Black,0.25
332,0,Intact Female,Labrador Retriever Mix,Chocolate/White,0.25
333,0,Intact Male,Labrador Retriever Mix,Chocolate,0.25
334,0,Unknown,Chihuahua Shorthair Mix,Tan,0.25
335,0,Unknown,Chihuahua Shorthair Mix,Tan,0.25
336,0,Unknown,Chihuahua Shorthair Mix,Tan,0.25
337,0,Unknown,Chihuahua Shorthair Mix,Brown/Black,0.25
338,0,Intact Female,Chihuahua Shorthair Mix,Tan,0.25
339,0,Intact Female,Chihuahua Shorthair Mix,Tan,0.25
340,0,Intact Male,Chihuahua Shorthair Mix,Tan,0.25
341,0,Unknown,Labrador Retriever,Tricolor,0.25
342,0,Unknown,Labrador Retriever,White/Brown Brindle,0.25
343,0,Unknown,Labrador Retriever,White/Brown Brindle,0.25
344,0,Unknown,Labrador Retriever,Tricolor,0.25
345,0,Unknown,Labrador Retriever,White/Black,0.25
346,0,Unknown,Labrador Retriever,Tricolor,0.25
347,0,Unknown,Labrador Retriever,White/Black,0.25
348,0,Intact Male,Siberian Husky Mix,White,0.25
349,0,Intact Female,Siberian Husky Mix,Tricolor,0.25
350,0,Intact Male,Siberian Husky Mix,Tricolor,0.25
351,0,Intact Female,Siberian Husky Mix,Black/White,0.25
352,0,Intact Male,Siberian Husky Mix,Black/Tricolor,0.25
353,0,Unknown,Pit Bull Mix,Brown/White,0.25
354,0,Unknown,Pit Bull Mix,Brown/White,0.25
355,0,Unknown,Pit Bull Mix,Brown/White,0.25
356,0,Unknown,Pit Bull Mix,Brown/White,0.25
357,0,Unknown,Pit Bull Mix,Brown/White,0.25
358,0,Unknown,Pit Bull Mix,Brown/White,0.25
359,0,Unknown,Pit Bull Mix,Brown/White,0.25
360,0,Unknown,Pit Bull Mix,Brown/White,0.25
361,0,Unknown,Pit Bull Mix,Brown/White,0.25
362,0,Unknown,Rottweiler Mix,Black,0.25
363,0,Unknown,Rottweiler Mix,Black,0.25
364,0,Unknown,Rottweiler Mix,Black,0.25
365,0,Unknown,Rottweiler Mix,Black,0.25
366,0,Unknown,Rottweiler Mix,Black,0.25
367,0,Unknown,Rottweiler Mix,Black,0.25
368,0,Unknown,Rottweiler Mix,Black,0.25
369,0,Unknown,Rottweiler Mix,Black,0.25
370,0,Unknown,Rottweiler Mix,Black,0.25
371,0,Unknown,Rottweiler Mix,Black,0.25
372,0,Unknown,Rottweiler Mix,Black,0.25
373,0,Unknown,Rottweiler Mix,Black,0.25
374,0,Intact Male,Anatol Shepherd Mix,Black/White,0.25
375,0,Intact Male,Pit Bull Mix,Black/White,0.25
376,0,Intact Male,Pit Bull Mix,Brown Brindle/White,0.25
377,0,Intact Male,German Shepherd Mix,Brown/Black,0.25
378,0,Intact Male,Yorkshire Terrier Mix,Tricolor,0.25
379,0,Intact Female,Yorkshire Terrier Mix,Black/White,0.25
380,0,Intact Female,Yorkshire Terrier Mix,Brown/White,0.25
381,0,Intact Male,Yorkshire Terrier Mix,Tan,0.25
382,0,Intact Male,Yorkshire Terrier Mix,Chocolate/White,0.25
383,0,Intact Male,Chihuahua Shorthair Mix,Tricolor,0.25
384,0,Intact Male,Anatol Shepherd Mix,Black,0.25
385,0,Intact Male,Anatol Shepherd Mix,Black,0.25
386,0,Intact Female,Anatol Shepherd Mix,Sable,0.25
387,0,Intact Male,Anatol Shepherd Mix,Black,0.25
388,0,Intact Male,German Shepherd Mix,Brown,0.25
389,0,Intact Male,German Shepherd Mix,Brown,0.25
390,0,Intact Female,German Shepherd Mix,Brown,0.25
391,0,Intact Female,German Shepherd Mix,Brown,0.25
392,0,Intact Female,German Shepherd Mix,Brown,0.25
393,0,Intact Female,German Shepherd Mix,Black,0.25
394,0,Intact Male,German Shepherd Mix,Brown,0.25
395,0,Intact Male,German Shepherd Mix,Black,0.25
396,0,Intact Female,German Shepherd Mix,Black,0.25
397,0,Unknown,Labrador Retriever Mix,Black,0.25
398,0,Unknown,Labrador Retriever Mix,Black,0.25
399,0,Unknown,Labrador Retriever Mix,Black,0.25
400,0,Intact Male,Border Collie Mix,Black/Tricolor,0.25
401,0,Intact Female,Chihuahua Shorthair Mix,Sable/White,0.25
402,0,Intact Female,Chihuahua Shorthair Mix,Tricolor,0.25
403,0,Intact Male,Chihuahua Shorthair Mix,White,0.25
404,0,Intact Male,Chihuahua Shorthair Mix,Buff,0.25
405,0,Intact Female,Labrador Retriever Mix,Brown/Black,0.25
406,0,Intact Female,Pit Bull Mix,Blue/White,0.25
407,0,Intact Male,Pit Bull Mix,Fawn/White,0.25
408,0,Intact Female,Pit Bull Mix,Black/White,0.25
409,0,Intact Male,Pit Bull Mix,Blue/White,0.25
410,0,Intact Male,Pit Bull Mix,Tan/White,0.25
411,0,Unknown,Chihuahua Shorthair Mix,White/Tan,0.25
412,0,Unknown,Labrador Retriever Mix,Black,0.25
413,0,Unknown,Labrador Retriever Mix,Black,0.25
414,0,Unknown,Labrador Retriever Mix,Black/White,0.25
415,0,Unknown,Labrador Retriever Mix,Brown Brindle,0.25
416,0,Unknown,Labrador Retriever Mix,Brown Brindle,0.25
417,0,Unknown,Labrador Retriever Mix,Brown Brindle/White,0.25
418,0,Intact Male,Labrador Retriever Mix,Brown,0.25
419,0,Intact Female,Pit Bull Mix,Brown/White,0.25
420,0,Intact Male,Pit Bull Mix,Brown/White,0.25
421,0,Intact Male,Pit Bull Mix,Brown/White,0.25
422,0,Intact Female,Pit Bull Mix,Brown/White,0.25
423,0,Intact Female,Chihuahua Shorthair,Tan,0.25
424,0,Intact Female,Chihuahua Shorthair Mix,Brown,0.25
425,0,Intact Female,Pit Bull Mix,Brown,0.25
426,0,Intact Female,Pit Bull Mix,Brown,0.25
427,0,Intact Female,Pit Bull Mix,Brown,0.25
428,0,Intact Female,Pit Bull Mix,Brown,0.25
429,0,Intact Female,Pit Bull Mix,Brown,0.25
430,0,Intact Male,Pit Bull Mix,Black/White,0.25
431,0,Intact Male,Pit Bull Mix,Blue/White,0.25
432,0,Intact Male,Pit Bull Mix,Red,0.25
433,0,Intact Male,Pit Bull Mix,Brown,0.25
434,0,Unknown,Pit Bull Mix,White/Black,0.25
435,0,Unknown,Pit Bull Mix,Black/White,0.25
436,0,Unknown,Pit Bull Mix,Black/White,0.25
437,0,Unknown,Pit Bull Mix,White/Black,0.25
438,0,Unknown,Pit Bull Mix,Black/White,0.25
439,0,Unknown,Pit Bull Mix,Black/White,0.25
440,0,Intact Male,Labrador Retriever Mix,Black,0.25
441,0,Intact Male,Labrador Retriever Mix,Yellow,0.25
442,0,Intact Female,Chihuahua Shorthair Mix,Brown,0.25
443,0,Intact Female,Chihuahua Shorthair Mix,Brown,0.25
444,0,Intact Female,Chihuahua Shorthair Mix,Cream,0.25
445,0,Intact Female,Chihuahua Shorthair Mix,Brown,0.25
446,0,Intact Female,Labrador Retriever Mix,Black,0.25
447,0,Intact Male,Chihuahua Shorthair Mix,White,0.25
448,0,Intact Male,Chihuahua Shorthair Mix,White,0.25
449,0,Intact Male,Chihuahua Shorthair Mix,Black/White,0.25
450,0,Intact Male,Chihuahua Shorthair/Dachshund,Tan/Black,0.25
451,0,Intact Male,Chihuahua Shorthair/Dachshund,Tricolor,0.25
452,0,Intact Male,Chihuahua Shorthair/Dachshund,Black/Tan,0.25
453,0,Intact Female,Border Collie Mix,Black/White,0.25
454,0,Intact Female,Border Collie Mix,Black/White,0.25
455,0,Intact Female,Border Collie Mix,Black/White,0.25
456,0,Intact Female,Border Collie Mix,Black/White,0.25
457,0,Intact Female,Border Collie Mix,Tan/White,0.25
458,0,Intact Female,Border Collie Mix,Black/White,0.25
459,0,Intact Female,Border Collie Mix,Chocolate/White,0.25
